nama,tahun_data,matematika,pemrograman_dasar,basis_data,jaringan_komputer,kecerdasan_buatan,struktur_data,statistika,sistem_operasi,pbo,minat_jurusan
Rosa Barus,2024,2.3,3.0,3.0,2.0,3.7,3.3,2.0,3.0,3.0,RPL
Dedi Chaniago,2024,4.0,1.0,3.7,2.3,3.3,4.0,3.7,4.0,4.0,AI Engineering
Iwan Pohan,2024,1.0,4.0,2.3,4.0,1.0,2.3,4.0,3.7,3.0,Cyber Security
Nina Hardi,2024,2.0,3.3,3.3,3.0,1.0,1.0,3.3,3.0,3.0,Cyber Security
Nina Nasution,2024,2.7,2.7,1.0,3.3,3.7,3.3,1.0,3.3,4.0,Cyber Security
Joko Pasaribu,2024,2.0,4.0,3.0,4.0,4.0,3.3,2.3,2.7,3.7,RPL
Maya Sitepu,2024,2.0,4.0,1.0,3.7,4.0,1.0,2.3,3.3,3.0,Cyber Security
Dadan Ramadhan,2024,4.0,3.0,2.3,3.0,2.3,3.7,2.3,4.0,2.0,Cyber Security
Agus Barus,2024,3.3,3.3,3.0,3.7,4.0,2.7,3.0,3.0,2.3,AI Engineering
Joko Siregar,2024,4.0,3.7,3.3,2.0,2.3,3.7,2.0,2.0,4.0,RPL
Citra Kurniawan,2024,4.0,3.0,3.3,3.7,2.7,3.7,2.7,3.3,3.7,RPL
Dedi Pohan,2024,3.0,3.7,3.3,2.3,3.0,3.7,3.3,2.3,3.0,RPL
Siti Pratama,2024,2.7,2.3,2.7,3.0,2.3,3.7,3.3,3.0,3.3,Cyber Security
Hendra Sari,2024,3.3,3.0,3.0,2.7,3.0,1.0,4.0,2.0,2.0,AI Engineering
Andi Kurniawan,2024,3.7,2.3,3.0,3.3,3.3,2.7,4.0,2.7,2.3,AI Engineering
Maya Pohan,2024,3.3,3.7,3.0,3.3,3.0,3.3,3.0,2.0,2.3,AI Engineering
Dadan Fitriani,2024,3.7,3.0,4.0,2.0,4.0,3.0,3.7,3.3,3.7,RPL
Siti Tanjung,2024,3.3,2.7,2.7,2.0,3.3,2.3,3.3,3.0,2.3,AI Engineering
Citra Simanjuntak,2024,2.7,4.0,3.7,4.0,1.0,3.3,3.7,4.0,4.0,RPL
Rizky Siahaan,2024,4.0,2.3,1.0,3.3,3.0,2.0,4.0,3.0,3.0,AI Engineering
Iwan Harahap,2024,1.0,3.0,3.0,2.0,4.0,3.7,3.0,3.0,4.0,RPL
Rizky Siregar,2024,4.0,1.0,3.3,1.0,4.0,3.7,3.7,3.0,3.0,AI Engineering
Tania Susanto,2024,3.7,3.3,2.3,1.0,3.0,3.3,3.7,1.0,2.7,AI Engineering
Tania Nasution,2024,4.0,2.0,1.0,3.3,2.7,2.0,2.3,3.0,2.0,Cyber Security
Laila Ginting,2024,3.3,3.3,2.0,3.3,3.0,3.7,3.7,4.0,1.0,Cyber Security
Farhan Hidayat,2024,2.0,3.0,4.0,3.7,2.7,3.3,3.0,2.3,3.3,RPL
Dewi Tanjung,2024,2.7,3.0,3.0,3.7,1.0,3.3,3.0,2.0,3.0,RPL
Vina Chaniago,2024,4.0,4.0,3.0,2.7,2.0,4.0,2.0,2.0,3.7,RPL
Maya Pratama,2024,4.0,4.0,3.0,3.0,2.3,3.3,2.3,2.3,4.0,RPL
Aris Simanjuntak,2024,1.0,2.3,2.7,3.7,3.3,3.0,3.7,3.0,3.7,Cyber Security
Bambang Sembiring,2024,3.0,1.0,3.0,4.0,3.7,3.0,3.0,2.7,2.3,AI Engineering
Gita Wulandari,2024,3.7,2.3,2.7,3.0,4.0,1.0,3.3,4.0,3.0,Cyber Security
Dewi Kurniawan,2024,3.7,3.3,1.0,4.0,1.0,2.3,3.3,3.0,2.7,Cyber Security
Farhan Nasution,2024,2.3,4.0,3.7,1.0,3.3,3.7,2.0,4.0,3.0,RPL
Fajar Lubis,2024,3.0,1.0,4.0,3.7,1.0,1.0,2.7,4.0,4.0,Cyber Security
Andi Sari,2024,3.0,3.0,2.0,3.7,4.0,3.3,4.0,4.0,2.3,Cyber Security
Rosa Nasution,2024,2.3,3.3,3.0,4.0,2.7,3.3,3.3,4.0,3.3,RPL
Nina Tanjung,2024,3.3,3.3,3.7,4.0,2.7,4.0,3.0,4.0,3.3,RPL
Dewi Pohan,2024,1.0,1.0,3.0,3.0,2.7,1.0,2.7,3.7,2.3,Cyber Security
Maya Santoso,2024,3.3,2.7,1.0,3.0,3.0,3.7,3.7,2.0,4.0,AI Engineering
Nyoman Fitriani,2024,3.3,2.0,2.7,3.0,3.3,2.7,4.0,3.7,2.0,AI Engineering
Putri Simanjuntak,2024,3.7,2.7,3.7,1.0,3.7,2.7,3.3,2.3,4.0,AI Engineering
Eko Kurniawan,2024,2.0,2.0,2.7,3.3,1.0,2.0,2.0,3.3,3.0,Cyber Security
Budi Sari,2024,4.0,3.7,3.0,3.7,3.0,3.7,2.3,2.0,3.3,RPL
Laila Sembiring,2024,1.0,2.3,2.3,4.0,3.3,2.0,3.7,4.0,2.0,Cyber Security
Fajar Barus,2024,3.3,2.0,3.3,2.0,4.0,2.7,3.7,2.0,4.0,AI Engineering
Hana Al-Faris,2024,2.0,2.7,1.0,4.0,2.7,3.3,4.0,4.0,3.0,Cyber Security
Dadan Situmorang,2024,3.3,2.3,2.7,3.3,2.7,3.0,2.7,4.0,2.7,Cyber Security
Nyoman Sitepu,2024,2.7,3.3,3.7,3.7,3.0,1.0,1.0,3.0,3.3,Cyber Security
Dadan Pasaribu,2024,2.3,3.7,4.0,4.0,3.0,3.0,4.0,3.0,3.0,RPL
Ayu Fitriani,2024,3.7,3.0,3.3,2.3,1.0,3.7,2.7,3.3,3.3,RPL
Tania Saputra,2024,3.3,3.3,1.0,2.0,3.0,3.7,3.0,3.3,2.7,AI Engineering
Putri Utami,2024,3.3,2.3,3.0,3.7,3.7,2.3,1.0,3.0,2.7,Cyber Security
Dewi Hasibuan,2024,3.7,2.3,3.3,3.0,3.3,4.0,4.0,3.0,3.3,Cyber Security
Rizky Lubis,2024,4.0,2.7,2.0,1.0,3.7,2.3,3.0,3.7,1.0,AI Engineering
Rizky Pratama,2024,3.7,3.3,2.3,3.7,3.0,3.7,3.3,3.3,2.0,Cyber Security
Bambang Simanjuntak,2024,1.0,3.7,4.0,3.0,3.7,3.7,3.7,3.0,3.7,RPL
Dedi Ramadhan,2024,2.3,4.0,3.0,3.7,1.0,3.0,3.3,2.7,4.0,RPL
Dedi Harahap,2024,3.3,3.0,3.7,3.0,2.3,3.7,3.3,3.0,3.3,RPL
Made Zulkarnain,2024,3.0,3.3,2.0,3.3,2.0,2.0,4.0,3.7,2.7,Cyber Security
Gani Siregar,2024,2.3,2.7,1.0,4.0,3.0,2.7,2.3,3.7,2.3,Cyber Security
Eko Utami,2024,2.0,3.3,3.7,2.0,1.0,3.7,1.0,3.3,3.3,RPL
Putu Chaniago,2024,3.0,2.7,3.0,1.0,4.0,3.3,3.7,2.3,4.0,AI Engineering
Bagas Utami,2024,3.0,3.3,4.0,3.3,4.0,4.0,1.0,3.7,3.0,RPL
Putri Puspita,2024,4.0,4.0,3.0,3.0,3.7,3.3,3.0,3.3,3.3,RPL
Lani Sembiring,2024,2.0,2.3,2.7,3.7,3.0,3.3,3.7,4.0,2.3,Cyber Security
Eko Al-Faris,2024,3.7,4.0,3.3,3.0,3.7,2.7,2.3,3.3,3.7,Cyber Security
Siska Ginting,2024,4.0,3.0,2.7,3.0,3.3,1.0,3.0,2.3,1.0,AI Engineering
Nina Al-Faris,2024,3.0,3.3,2.7,2.0,3.7,2.3,3.0,3.0,4.0,AI Engineering
Eko Aminah,2024,3.7,3.0,3.7,3.0,4.0,3.3,1.0,2.0,3.3,RPL
Rina Utami,2024,3.7,3.3,3.7,2.3,4.0,2.3,3.0,3.7,3.0,AI Engineering
Nyoman Hidayat,2024,3.0,2.0,3.7,3.0,3.7,3.3,2.0,3.3,3.3,Cyber Security
Budi Lestari,2024,3.3,4.0,2.0,3.7,4.0,3.7,3.7,4.0,4.0,Cyber Security
Rina Hasibuan,2024,2.7,2.7,2.0,3.7,3.3,3.3,2.3,4.0,3.7,Cyber Security
Hana Sembiring,2024,3.3,3.3,2.3,3.7,3.0,1.0,4.0,3.3,2.3,AI Engineering
Putu Sembiring,2024,3.0,3.3,2.3,1.0,3.7,2.7,4.0,4.0,3.7,AI Engineering
Aris Wulandari,2024,1.0,3.0,3.3,4.0,3.3,2.7,3.0,3.7,3.3,Cyber Security
Taufik Wijaya,2024,3.0,2.7,2.7,3.7,4.0,2.3,3.0,3.7,4.0,AI Engineering
Bagas Sari,2024,3.0,4.0,1.0,2.3,3.3,3.3,4.0,4.0,3.0,AI Engineering
Dewi Lubis,2024,1.0,3.3,4.0,2.0,4.0,3.7,2.7,4.0,3.0,RPL
Eko Siregar,2024,3.3,2.7,4.0,3.0,3.0,2.7,2.7,3.7,3.3,Cyber Security
Iwan Fitriani,2024,2.7,3.0,2.7,3.3,2.0,2.7,4.0,3.0,2.3,Cyber Security
Made Lubis,2024,2.0,3.3,3.3,4.0,3.3,2.7,3.0,3.3,2.0,Cyber Security
Hana Situmorang,2024,2.3,3.7,3.7,2.7,3.0,3.0,2.3,2.0,3.7,RPL
Nyoman Puspita,2024,2.0,2.7,2.0,3.3,2.3,3.0,4.0,3.3,1.0,Cyber Security
Putu Aminah,2024,4.0,3.0,4.0,3.0,1.0,3.3,2.3,3.3,4.0,RPL
Laila Hardi,2025,2.0,4.0,4.0,3.3,3.0,3.7,2.0,3.7,4.0,Cyber Security
Doni Kurniawan,2025,4.0,1.0,2.7,3.7,3.0,2.7,4.0,2.0,4.0,AI Engineering
Putu Harahap,2025,2.3,1.0,3.0,3.0,3.7,4.0,1.0,3.3,3.3,Cyber Security
Vina Ginting,2025,3.3,3.3,2.0,2.3,3.7,3.7,4.0,4.0,1.0,AI Engineering
Siska Ramadhan,2025,4.0,3.7,3.7,3.7,3.0,4.0,4.0,3.0,3.0,RPL
Fajar Hasibuan,2025,2.7,2.7,2.7,4.0,2.0,4.0,2.0,4.0,2.7,Cyber Security
Ayu Kurniawan,2025,2.7,3.0,3.0,3.3,3.0,2.7,1.0,4.0,3.3,Cyber Security
Nina Rahayu,2025,2.0,3.7,4.0,2.7,4.0,3.7,3.3,3.3,3.7,RPL
Doni Sembiring,2025,1.0,2.0,2.0,3.3,2.3,3.7,2.3,4.0,2.3,Cyber Security
Nina Kurniawan,2025,3.0,2.3,2.7,3.3,3.7,1.0,3.0,2.3,1.0,AI Engineering
Ayu Ginting,2025,3.3,3.0,2.3,2.3,3.3,2.3,3.0,3.3,2.0,AI Engineering
Vina Situmorang,2025,3.3,3.3,4.0,3.0,3.7,3.3,4.0,3.7,2.7,AI Engineering
Siti Rahayu,2025,3.0,1.0,2.7,3.3,3.0,2.3,3.7,2.3,3.3,AI Engineering
Siska Mahendra,2025,3.3,2.3,1.0,3.0,3.3,2.7,4.0,3.7,3.7,AI Engineering
Joko Siahaan,2025,3.0,2.7,3.7,4.0,4.0,2.0,3.7,4.0,3.0,AI Engineering
Gita Pratama,2025,1.0,3.7,3.7,4.0,4.0,3.7,3.3,2.3,4.0,RPL
Farhan Aminah,2025,3.7,2.3,2.3,3.7,1.0,3.0,4.0,3.7,3.0,Cyber Security
Bagas Simanjuntak,2025,2.7,2.7,3.3,4.0,4.0,3.3,3.7,3.0,2.3,Cyber Security
Putri Utami,2025,3.0,3.7,2.7,2.0,3.3,3.3,3.0,3.3,1.0,AI Engineering
Joko Siregar,2025,4.0,2.0,1.0,3.3,4.0,1.0,4.0,2.0,2.0,AI Engineering
Vina Rahayu,2025,2.3,2.3,1.0,3.7,2.7,4.0,3.0,3.0,3.7,Cyber Security
Made Pasaribu,2025,2.7,2.3,3.7,3.0,3.0,2.7,3.3,3.0,1.0,Cyber Security
Indah Mahendra,2025,3.0,4.0,2.0,3.7,4.0,3.7,3.0,4.0,3.3,AI Engineering
Indah Simanjuntak,2025,3.3,1.0,3.7,3.0,1.0,3.7,3.0,3.7,3.7,Cyber Security
Doni Hasibuan,2025,2.7,3.3,2.0,3.3,1.0,2.3,3.7,3.0,2.0,Cyber Security
Lani Manurung,2025,1.0,2.0,1.0,3.3,1.0,3.7,2.3,3.0,2.0,Cyber Security
Lani Puspita,2025,4.0,2.3,2.3,3.3,3.0,2.7,3.0,3.0,2.3,AI Engineering
Joko Susanto,2025,4.0,2.7,2.7,3.3,3.3,3.0,3.7,3.3,3.7,AI Engineering
Andi Sembiring,2025,3.3,3.0,4.0,2.3,2.3,4.0,2.0,3.3,3.0,RPL
Siska Hasibuan,2025,3.3,3.0,3.0,4.0,2.3,3.7,3.0,3.3,3.3,RPL
Bagas Zulkarnain,2025,3.3,2.7,3.7,3.7,3.3,3.7,2.7,3.3,2.3,Cyber Security
Ayu Manurung,2025,3.7,4.0,3.0,2.7,4.0,2.0,3.7,3.3,3.3,AI Engineering
Farhan Santoso,2025,3.0,3.3,3.0,1.0,4.0,4.0,1.0,1.0,3.0,RPL
Putu Kurniawan,2025,4.0,3.0,3.7,3.3,2.0,3.3,1.0,2.0,3.0,RPL
Siti Lubis,2025,3.0,1.0,1.0,3.3,4.0,3.7,3.0,3.7,2.3,Cyber Security
Dewi Simanjuntak,2025,2.0,2.7,3.7,4.0,4.0,2.3,4.0,3.7,2.3,Cyber Security
Dedi Sitepu,2025,3.0,3.3,2.0,3.3,3.7,2.7,4.0,2.3,4.0,AI Engineering
Aris Harahap,2025,3.0,3.0,2.3,3.3,2.3,3.3,1.0,4.0,2.7,Cyber Security
Hendra Ginting,2025,2.7,3.0,2.0,4.0,4.0,3.0,1.0,3.7,2.3,Cyber Security
Andi Saputra,2025,3.0,2.7,3.3,3.7,3.0,2.3,3.3,4.0,2.0,AI Engineering
Bambang Siregar,2025,4.0,3.7,3.7,1.0,3.3,2.3,4.0,3.0,2.3,AI Engineering
Gita Lestari,2025,2.3,3.3,3.7,3.0,2.7,3.3,2.7,3.3,3.7,RPL
Siti Saputra,2025,4.0,3.3,2.7,4.0,3.7,3.0,3.0,4.0,2.7,AI Engineering
Agus Fitriani,2025,1.0,4.0,3.7,2.0,4.0,3.0,2.0,3.7,3.0,RPL
Bagas Setiawan,2025,3.7,3.3,2.0,4.0,4.0,2.3,3.7,4.0,4.0,AI Engineering
Rina Chaniago,2025,4.0,3.0,3.0,3.7,2.7,2.3,3.3,3.0,4.0,Cyber Security
Euis Pohan,2025,4.0,2.3,2.0,3.3,3.7,4.0,2.0,3.0,3.7,Cyber Security
Gani Mulyono,2025,4.0,3.0,2.3,4.0,2.0,2.3,1.0,3.0,2.7,Cyber Security
Farhan Nasution,2025,3.0,3.3,3.0,3.3,2.3,3.7,4.0,2.7,3.7,RPL
Agus Mulyono,2025,4.0,3.3,3.7,3.3,3.7,3.0,3.3,2.7,3.3,RPL
Taufik Susanto,2025,3.0,4.0,3.7,4.0,1.0,4.0,3.3,2.3,3.3,RPL
Gita Aminah,2025,3.7,1.0,3.7,4.0,3.7,2.7,2.3,4.0,1.0,Cyber Security
Rina Santoso,2025,4.0,1.0,3.3,2.7,3.7,1.0,4.0,2.7,3.0,AI Engineering
Nina Hardi,2025,3.3,1.0,2.3,2.7,4.0,4.0,4.0,2.0,3.3,AI Engineering
Laila Zulkarnain,2025,2.7,2.3,3.0,3.7,2.0,3.7,3.0,3.3,1.0,Cyber Security
Vina Kusuma,2025,2.0,3.3,2.3,3.0,2.0,2.0,2.0,4.0,2.0,Cyber Security
Vina Setiawan,2025,1.0,3.0,3.7,3.0,4.0,4.0,3.0,3.7,3.0,RPL
Indah Kurniawan,2025,3.3,3.7,1.0,3.3,1.0,4.0,3.7,3.0,4.0,Cyber Security
Dadan Zulkarnain,2025,3.7,3.0,2.7,2.0,3.3,1.0,3.0,3.3,2.3,AI Engineering
Lani Barus,2025,1.0,4.0,3.7,4.0,3.0,3.0,2.0,2.7,3.0,RPL
Rizky Rahayu,2025,2.0,4.0,3.7,2.3,1.0,3.0,2.7,2.0,3.0,RPL
Budi Ginting,2025,3.0,2.0,3.7,1.0,3.3,2.0,3.0,2.0,3.7,AI Engineering
Iwan Hasibuan,2025,3.0,1.0,3.0,2.7,3.7,3.7,4.0,3.7,3.0,AI Engineering
Hendra Pasaribu,2025,3.0,4.0,3.3,2.7,1.0,3.3,3.3,2.3,3.0,RPL
Joko Puspita,2025,3.7,2.7,4.0,2.3,3.3,2.7,3.0,2.0,1.0,AI Engineering
Indah Mulyono,2025,3.3,2.7,2.7,4.0,3.3,2.3,3.3,1.0,2.0,AI Engineering
Farhan Hidayat,2025,4.0,1.0,1.0,3.0,3.0,2.7,1.0,4.0,4.0,Cyber Security
Putu Lubis,2025,2.0,3.0,3.3,3.3,2.3,3.7,3.3,2.7,3.3,RPL
Made Susanto,2025,3.0,3.3,3.7,1.0,3.0,3.7,3.3,3.0,1.0,AI Engineering
Aris Sari,2025,2.0,4.0,4.0,2.3,2.3,3.7,1.0,4.0,3.0,RPL
Budi Sari,2025,4.0,2.7,2.3,3.7,3.0,2.7,3.0,1.0,2.0,AI Engineering
Fajar Puspita,2025,4.0,2.3,3.3,3.7,3.3,2.7,2.0,3.3,3.3,Cyber Security
Tania Pohan,2025,3.0,3.7,3.7,2.3,3.7,3.7,4.0,2.3,4.0,AI Engineering
Putu Sembiring,2025,3.7,3.0,4.0,3.7,3.0,4.0,2.3,1.0,3.3,RPL
Taufik Hasibuan,2025,2.3,4.0,3.7,3.3,3.3,3.0,3.0,3.0,4.0,Cyber Security
Dedi Santoso,2025,3.7,3.7,2.0,4.0,2.7,3.7,4.0,4.0,2.0,Cyber Security
Rina Puspita,2025,4.0,1.0,2.0,2.0,3.3,1.0,3.0,3.3,2.0,AI Engineering
Dewi Zulkarnain,2025,3.7,4.0,4.0,3.3,3.0,4.0,1.0,3.7,4.0,RPL
Rosa Sembiring,2025,3.3,2.3,3.3,4.0,3.3,3.3,4.0,3.0,2.3,Cyber Security
Gani Manurung,2025,3.3,4.0,2.0,2.7,3.7,3.0,3.0,3.3,2.3,AI Engineering
Indah Sari,2025,3.7,3.0,4.0,3.0,3.3,3.0,4.0,4.0,3.0,RPL
Hana Kurniawan,2025,3.3,4.0,4.0,1.0,3.3,4.0,3.7,2.3,2.7,AI Engineering
Citra Utami,2025,4.0,4.0,3.0,3.3,3.3,2.7,3.3,4.0,3.0,AI Engineering
Hendra Tanjung,2025,4.0,4.0,4.0,2.7,3.7,2.3,3.7,3.3,2.3,AI Engineering
Hana Wijaya,2025,2.7,2.7,3.0,4.0,2.3,3.7,2.0,3.0,3.7,Cyber Security
Andi Lubis,2025,1.0,3.7,3.0,2.7,1.0,3.3,4.0,2.0,3.7,RPL
Agus Wijaya,2025,3.0,2.7,3.3,3.0,3.0,2.7,3.3,4.0,4.0,AI Engineering
Maya Sari,2025,3.0,2.7,3.7,4.0,3.3,3.0,3.3,3.3,3.7,AI Engineering
Zaki Sembiring,2025,2.7,3.0,3.3,4.0,2.7,3.7,1.0,3.0,3.7,RPL
Gita Setiawan,2025,3.3,1.0,2.7,3.3,3.7,4.0,4.0,1.0,1.0,AI Engineering
Ayu Situmorang,2025,1.0,3.0,3.7,1.0,3.3,3.0,3.7,2.0,3.0,RPL
Putu Hidayat,2025,4.0,3.7,1.0,3.0,3.0,1.0,2.7,4.0,2.3,Cyber Security
Siska Zulkarnain,2025,3.3,3.3,2.3,3.7,3.0,2.3,3.0,3.3,2.0,AI Engineering
Aris Mulyono,2025,4.0,4.0,3.0,2.7,2.7,3.7,2.3,2.7,4.0,RPL
Budi Barus,2025,1.0,2.3,2.7,3.0,3.3,2.7,1.0,3.3,3.3,Cyber Security
Maya Lestari,2025,3.0,2.7,2.0,2.3,4.0,2.0,4.0,2.0,4.0,AI Engineering
Gita Pasaribu,2025,3.7,2.0,1.0,3.7,3.7,3.0,4.0,2.3,3.3,AI Engineering
Rina Situmorang,2025,3.0,3.3,3.0,4.0,3.0,4.0,4.0,3.0,4.0,RPL
Hana Barus,2025,2.0,3.0,4.0,3.3,2.0,3.7,3.7,3.0,4.0,RPL
Made Ramadhan,2025,3.7,2.0,3.7,2.7,3.7,3.0,3.7,2.7,2.0,AI Engineering
Joko Kusuma,2025,3.0,2.3,2.7,4.0,3.7,2.0,4.0,1.0,4.0,AI Engineering
Doni Al-Faris,2025,3.3,2.7,3.0,4.0,3.0,3.7,2.7,3.7,3.7,Cyber Security
Citra Chaniago,2025,4.0,1.0,2.7,3.3,2.7,4.0,2.7,4.0,3.7,Cyber Security
Fajar Puspita,2025,1.0,1.0,4.0,3.7,3.7,3.0,3.7,4.0,3.3,Cyber Security
Andi Siahaan,2025,3.0,3.7,3.7,3.7,2.3,2.0,3.0,3.3,2.0,Cyber Security
Nina Hardi,2025,4.0,3.0,2.3,3.7,3.0,3.0,3.7,1.0,2.0,AI Engineering
Putu Aminah,2025,3.7,2.0,4.0,1.0,4.0,3.3,4.0,2.3,2.0,AI Engineering
Farhan Zulkarnain,2025,4.0,1.0,3.3,3.0,4.0,4.0,3.0,1.0,2.7,AI Engineering
Siti Kusuma,2025,4.0,3.7,2.3,4.0,2.7,4.0,1.0,4.0,3.7,Cyber Security
Eko Chaniago,2025,2.7,1.0,2.3,4.0,2.0,3.7,1.0,3.0,2.3,Cyber Security
Maya Kurniawan,2025,3.7,3.0,3.3,3.3,1.0,3.0,4.0,3.7,3.0,RPL
Putri Utami,2025,3.3,2.7,3.3,3.3,2.7,4.0,3.0,3.3,2.3,Cyber Security
Maya Lubis,2025,3.3,2.0,3.0,3.3,4.0,3.0,4.0,4.0,2.7,Cyber Security
Doni Sitepu,2025,4.0,3.7,3.0,2.0,3.0,3.3,2.3,3.7,3.0,RPL
Doni Pratama,2025,3.7,2.0,2.7,2.7,3.7,3.3,4.0,3.0,2.0,AI Engineering
Nina Simanjuntak,2025,2.3,1.0,2.0,3.0,3.7,3.0,3.7,3.3,4.0,Cyber Security
Tania Hasibuan,2025,3.0,4.0,3.7,2.7,1.0,3.3,2.7,3.3,3.0,RPL
Bambang Mahendra,2025,4.0,2.7,3.7,2.3,3.3,2.0,3.3,2.3,3.0,AI Engineering
Euis Kurniawan,2025,3.7,4.0,2.7,3.0,2.3,2.7,3.0,3.0,3.3,Cyber Security
Ayu Hasibuan,2025,2.0,4.0,3.3,4.0,1.0,3.0,3.3,2.7,3.7,RPL
Gita Pasaribu,2025,2.0,3.7,4.0,2.7,1.0,3.0,2.3,2.3,3.3,RPL
Joko Harahap,2025,2.7,3.0,2.0,3.3,4.0,3.3,3.0,3.7,1.0,Cyber Security
Gani Hardi,2025,3.7,1.0,3.7,3.0,3.3,2.3,4.0,3.7,3.7,AI Engineering
Gita Saputra,2025,4.0,3.7,2.3,1.0,3.7,3.0,3.3,3.3,3.3,AI Engineering
Budi Barus,2025,3.3,2.3,4.0,3.7,2.0,3.7,3.7,3.3,3.0,Cyber Security
Budi Zulkarnain,2025,1.0,3.3,3.3,2.3,3.7,3.3,1.0,3.3,3.7,RPL
Nyoman Hasibuan,2025,3.7,2.7,2.7,3.3,3.0,1.0,4.0,1.0,3.3,AI Engineering
Ayu Mulyono,2025,2.7,4.0,1.0,3.7,2.7,3.3,2.7,3.7,1.0,Cyber Security
Gita Sembiring,2025,3.7,3.3,3.0,4.0,4.0,4.0,3.0,3.7,3.7,RPL
Siti Hidayat,2025,3.0,3.7,2.0,3.7,3.7,2.0,3.3,3.0,3.7,AI Engineering
Gani Setiawan,2025,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,Cyber Security
Andi Utami,2025,3.0,3.3,2.3,3.3,4.0,3.7,2.3,3.3,2.3,Cyber Security
Joko Rahayu,2025,2.3,2.7,2.7,3.7,2.7,2.7,2.0,4.0,2.3,Cyber Security
Farhan Hidayat,2025,4.0,1.0,1.0,2.0,4.0,3.7,3.7,4.0,4.0,AI Engineering
Nyoman Siahaan,2025,2.7,3.3,1.0,4.0,4.0,3.0,1.0,3.7,2.7,Cyber Security
Gita Sari,2025,3.7,3.7,3.7,2.0,4.0,2.7,4.0,2.7,3.7,AI Engineering
Maya Siregar,2025,3.0,2.3,3.0,4.0,2.7,2.0,3.3,4.0,3.7,Cyber Security
Putri Santoso,2025,3.0,3.3,3.3,2.3,2.3,3.7,3.3,2.3,4.0,RPL
Budi Siahaan,2025,4.0,3.3,3.3,4.0,3.3,1.0,4.0,3.7,3.7,Cyber Security
Euis Sari,2025,2.0,3.0,4.0,3.7,2.0,4.0,1.0,3.0,4.0,Cyber Security
Aris Saputra,2025,3.7,4.0,3.7,1.0,3.0,3.0,3.0,2.7,4.0,RPL
Doni Siahaan,2025,3.3,4.0,2.3,4.0,3.0,2.3,3.3,2.0,1.0,AI Engineering
Aris Situmorang,2025,3.0,2.0,2.3,3.3,4.0,3.7,2.0,4.0,3.7,Cyber Security
Hendra Utami,2025,3.3,1.0,2.7,4.0,1.0,2.0,4.0,3.0,3.3,Cyber Security
Doni Wulandari,2025,4.0,3.0,3.7,1.0,3.0,3.7,3.3,2.3,4.0,RPL
Indah Manurung,2025,3.7,4.0,3.3,4.0,3.3,2.0,3.7,3.3,2.0,AI Engineering
Aris Puspita,2025,2.0,2.7,3.3,3.7,3.0,3.3,3.7,3.3,3.7,Cyber Security
Fajar Wulandari,2025,3.3,1.0,3.3,3.0,3.3,2.0,3.0,2.3,3.3,AI Engineering
Siska Zulkarnain,2025,1.0,2.3,3.3,3.7,3.7,4.0,1.0,3.7,1.0,Cyber Security
Zaki Utami,2025,2.3,1.0,2.7,4.0,4.0,2.3,1.0,3.7,2.0,Cyber Security
Tania Lestari,2025,1.0,3.0,3.7,3.3,2.0,3.7,3.7,2.7,3.3,RPL
Lani Setiawan,2025,4.0,4.0,3.7,3.7,1.0,4.0,2.7,3.0,3.7,RPL
Aris Hidayat,2025,3.0,2.0,3.3,2.0,3.7,4.0,4.0,3.3,2.7,AI Engineering
Putri Simanjuntak,2025,3.0,3.3,3.7,4.0,1.0,3.7,2.7,3.3,3.0,RPL
Putu Zulkarnain,2025,4.0,3.3,1.0,2.3,3.0,3.3,3.7,3.0,4.0,AI Engineering
Tania Mahendra,2025,2.3,3.7,3.0,4.0,3.0,4.0,2.3,3.7,3.3,RPL
Rosa Kurniawan,2025,3.7,3.7,3.3,2.0,2.0,3.7,4.0,1.0,3.0,RPL
Hendra Hidayat,2025,2.7,1.0,4.0,3.3,2.3,3.0,2.7,3.3,3.3,Cyber Security
Gita Ramadhan,2025,4.0,2.7,3.3,2.3,4.0,1.0,3.3,2.3,4.0,AI Engineering
Laila Chaniago,2025,4.0,2.7,2.0,3.3,3.3,4.0,3.0,2.0,3.0,AI Engineering
Dadan Al-Faris,2025,2.7,3.0,2.0,3.3,2.7,2.7,2.0,3.3,1.0,Cyber Security
Tania Zulkarnain,2025,2.3,2.7,3.0,3.3,2.3,4.0,2.0,3.0,3.0,Cyber Security
Maya Santoso,2025,2.0,2.7,2.7,3.7,4.0,2.0,2.7,3.0,3.0,Cyber Security
Rosa Saputra,2025,1.0,4.0,4.0,3.7,2.3,3.0,1.0,2.0,3.3,RPL
Iwan Hidayat,2025,2.3,3.0,3.0,3.3,3.3,3.7,3.3,2.7,3.7,RPL
Rizky Mahendra,2025,3.7,2.0,3.7,2.3,4.0,3.0,4.0,2.0,2.3,AI Engineering
Eko Mulyono,2025,2.3,3.0,2.0,3.0,3.0,3.7,3.7,3.0,1.0,Cyber Security
Budi Mulyono,2025,2.3,3.3,3.0,3.7,3.0,3.3,4.0,1.0,4.0,RPL
Farhan Mahendra,2025,2.7,3.0,4.0,3.0,2.7,4.0,1.0,2.7,3.0,RPL
Vina Lubis,2025,2.0,3.3,3.7,4.0,2.3,3.0,1.0,3.3,3.7,RPL
